iter	Passed	Remaining
695	4923	2150
696	4929	2142
697	4935	2135
698	4942	2128
699	4948	2120
700	4956	2114
701	4962	2106
702	4969	2099
703	4976	2092
704	4982	2084
705	4989	2077
706	4994	2069
707	5000	2062
708	5005	2054
709	5011	2046
710	5017	2039
711	5022	2031
712	5028	2023
713	5034	2016
714	5040	2009
715	5046	2001
716	5052	1994
717	5058	1986
718	5064	1979
719	5071	1972
720	5077	1964
721	5087	1958
722	5092	1951
723	5098	1943
724	5104	1936
725	5109	1928
726	5116	1921
727	5121	1913
728	5126	1905
729	5132	1898
730	5137	1890
731	5143	1883
732	5149	1875
733	5154	1868
734	5160	1860
735	5167	1853
736	5174	1846
737	5180	1839
738	5186	1831
739	5191	1824
740	5199	1817
741	5204	1809
742	5210	1802
743	5216	1794
744	5222	1787
745	5227	1779
746	5233	1772
747	5239	1765
748	5247	1758
749	5253	1751
750	5258	1743
751	5264	1736
752	5270	1728
753	5276	1721
754	5282	1714
755	5288	1706
756	5293	1699
757	5299	1691
758	5305	1684
759	5311	1677
760	5316	1669
761	5324	1662
762	5330	1655
763	5336	1648
764	5342	1641
765	5347	1633
766	5353	1626
767	5359	1618
768	5365	1611
769	5371	1604
770	5379	1597
771	5386	1590
772	5391	1583
773	5398	1576
774	5404	1569
775	5410	1561
776	5416	1554
777	5422	1547
778	5428	1539
779	5433	1532
780	5439	1525
781	5446	1518
782	5451	1510
783	5456	1503
784	5463	1496
785	5468	1488
786	5474	1481
787	5481	1474
788	5486	1467
789	5491	1459
790	5498	1452
791	5504	1445
792	5510	1438
793	5515	1430
794	5520	1423
795	5527	1416
796	5532	1409
797	5538	1402
798	5544	1394
799	5549	1387
800	5556	1380
801	5562	1373
802	5568	1366
803	5573	1358
804	5579	1351
805	5585	1344
806	5591	1337
807	5597	1330
808	5602	1322
809	5609	1315
810	5614	1308
811	5619	1301
812	5625	1294
813	5632	1286
814	5638	1279
815	5647	1273
816	5652	1266
817	5658	1258
818	5664	1251
819	5670	1244
820	5677	1237
821	5682	1230
822	5688	1223
823	5695	1216
824	5700	1209
825	5706	1202
826	5712	1195
827	5718	1187
828	5724	1180
829	5730	1173
830	5736	1166
831	5744	1159
832	5749	1152
833	5756	1145
834	5762	1138
835	5769	1131
836	5776	1125
837	5782	1117
838	5788	1110
839	5795	1103
840	5801	1096
841	5807	1089
842	5813	1082
843	5818	1075
844	5825	1068
845	5830	1061
846	5836	1054
847	5842	1047
848	5848	1040
849	5855	1033
850	5861	1026
851	5867	1019
852	5875	1012
853	5881	1005
854	5887	998
855	5894	991
856	5899	984
857	5905	977
858	5911	970
859	5917	963
860	5923	956
861	5929	949
862	5934	942
863	5941	935
864	5946	928
865	5952	921
866	5958	914
867	5965	907
868	5971	900
869	5976	893
870	5982	886
871	5988	879
872	5995	872
873	6002	865
874	6007	858
875	6013	851
876	6018	844
877	6025	837
878	6030	830
879	6036	823
880	6042	816
881	6048	809
882	6054	802
883	6060	795
884	6065	788
885	6073	781
886	6078	774
887	6084	767
888	6089	760
889	6096	753
890	6103	746
891	6108	739
892	6113	732
893	6119	725
894	6125	718
895	6130	711
896	6136	704
897	6141	697
898	6146	690
899	6152	683
900	6158	676
901	6164	669
902	6169	662
903	6176	655
904	6183	649
905	6188	642
906	6193	635
907	6199	628
908	6205	621
909	6211	614
910	6217	607
911	6222	600
912	6228	593
913	6234	586
914	6240	579
915	6245	572
916	6251	565
917	6257	558
918	6262	551
919	6269	545
920	6275	538
921	6280	531
922	6286	524
923	6292	517
924	6298	510
925	6304	503
926	6310	496
927	6316	490
928	6322	483
929	6327	476
930	6334	469
931	6339	462
932	6347	455
933	6352	448
934	6358	442
935	6365	435
936	6370	428
937	6376	421
938	6383	414
939	6389	407
940	6395	400
941	6400	394
942	6407	387
943	6413	380
944	6419	373
945	6425	366
946	6431	359
947	6437	353
948	6444	346
949	6450	339
950	6455	332
951	6461	325
952	6467	318
953	6473	312
954	6479	305
955	6484	298
956	6490	291
957	6496	284
958	6502	278
959	6508	271
960	6515	264
961	6521	257
962	6526	250
963	6533	243
964	6538	237
965	6544	230
966	6550	223
967	6556	216
968	6562	209
969	6567	203
970	6573	196
971	6579	189
972	6584	182
973	6590	175
974	6596	169
975	6602	162
976	6607	155
977	6613	148
978	6620	142
979	6626	135
980	6632	128
981	6638	121
982	6644	114
983	6650	108
984	6655	101
985	6661	94
986	6667	87
987	6673	81
988	6678	74
989	6684	67
990	6690	60
991	6697	54
992	6704	47
993	6710	40
994	6717	33
995	6723	27
996	6729	20
997	6735	13
998	6741	6
999	6746	0
